megyeNev,telepulesNev,megyeKod,telepulesKod,szavkorSorszam,jeloloSzervezet,jeloltNev,szavazatSzam,szavazatAranySzavkorben
BUDAPEST,Budapest XI. kerület,1,11,51, Független,GÖRÖG KRISZTIÁN ,4,"0,73%"
BUDAPEST,Budapest XI. kerület,1,11,52, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,253,"51,32%"
BUDAPEST,Budapest XI. kerület,1,11,52, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,208,"42,19%"
BUDAPEST,Budapest XI. kerület,1,11,52, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,19,"3,85%"
BUDAPEST,Budapest XI. kerület,1,11,52, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,9,"1,83%"
BUDAPEST,Budapest XI. kerület,1,11,52, Független,GÖRÖG KRISZTIÁN ,4,"0,81%"
BUDAPEST,Budapest XI. kerület,1,11,53, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,323,"57,47%"
BUDAPEST,Budapest XI. kerület,1,11,53, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,200,"35,59%"
BUDAPEST,Budapest XI. kerület,1,11,53, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,19,"3,38%"
BUDAPEST,Budapest XI. kerület,1,11,53, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,11,"1,96%"
BUDAPEST,Budapest XI. kerület,1,11,53, Független,GÖRÖG KRISZTIÁN ,9,"1,60%"
BUDAPEST,Budapest XI. kerület,1,11,54, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,293,"56,35%"
BUDAPEST,Budapest XI. kerület,1,11,54, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,195,"37,50%"
BUDAPEST,Budapest XI. kerület,1,11,54, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,13,"2,50%"
BUDAPEST,Budapest XI. kerület,1,11,54, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,10,"1,92%"
BUDAPEST,Budapest XI. kerület,1,11,54, Független,GÖRÖG KRISZTIÁN ,9,"1,73%"
BUDAPEST,Budapest XI. kerület,1,11,55, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,245,"49,49%"
BUDAPEST,Budapest XI. kerület,1,11,55, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,222,"44,85%"
BUDAPEST,Budapest XI. kerület,1,11,55, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,13,"2,63%"
BUDAPEST,Budapest XI. kerület,1,11,55, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,8,"1,62%"
BUDAPEST,Budapest XI. kerület,1,11,55, Független,GÖRÖG KRISZTIÁN ,7,"1,41%"
BUDAPEST,Budapest XI. kerület,1,11,56, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,232,"50,33%"
BUDAPEST,Budapest XI. kerület,1,11,56, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,196,"42,52%"
BUDAPEST,Budapest XI. kerület,1,11,56, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,16,"3,47%"
BUDAPEST,Budapest XI. kerület,1,11,56, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,11,"2,39%"
BUDAPEST,Budapest XI. kerület,1,11,56, Független,GÖRÖG KRISZTIÁN ,6,"1,30%"
BUDAPEST,Budapest XI. kerület,1,11,57, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,266,"52,26%"
BUDAPEST,Budapest XI. kerület,1,11,57, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,219,"43,03%"
BUDAPEST,Budapest XI. kerület,1,11,57, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,13,"2,55%"
BUDAPEST,Budapest XI. kerület,1,11,57, Független,GÖRÖG KRISZTIÁN ,7,"1,38%"
BUDAPEST,Budapest XI. kerület,1,11,57, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,4,"0,79%"
BUDAPEST,Budapest XI. kerület,1,11,58, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,253,"53,72%"
BUDAPEST,Budapest XI. kerület,1,11,58, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,180,"38,22%"
BUDAPEST,Budapest XI. kerület,1,11,58, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,18,"3,82%"
BUDAPEST,Budapest XI. kerület,1,11,58, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,14,"2,97%"
BUDAPEST,Budapest XI. kerület,1,11,58, Független,GÖRÖG KRISZTIÁN ,6,"1,27%"
BUDAPEST,Budapest XI. kerület,1,11,59, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,334,"57,00%"
BUDAPEST,Budapest XI. kerület,1,11,59, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,219,"37,37%"
BUDAPEST,Budapest XI. kerület,1,11,59, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,14,"2,39%"
BUDAPEST,Budapest XI. kerület,1,11,59, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,11,"1,88%"
BUDAPEST,Budapest XI. kerület,1,11,59, Független,GÖRÖG KRISZTIÁN ,8,"1,37%"
BUDAPEST,Budapest XI. kerület,1,11,60, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,411,"59,65%"
BUDAPEST,Budapest XI. kerület,1,11,60, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,250,"36,28%"
BUDAPEST,Budapest XI. kerület,1,11,60, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,13,"1,89%"
BUDAPEST,Budapest XI. kerület,1,11,60, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,10,"1,45%"
BUDAPEST,Budapest XI. kerület,1,11,60, Független,GÖRÖG KRISZTIÁN ,5,"0,73%"
BUDAPEST,Budapest XI. kerület,1,11,61, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,370,"54,01%"
BUDAPEST,Budapest XI. kerület,1,11,61, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,285,"41,61%"
BUDAPEST,Budapest XI. kerület,1,11,61, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,15,"2,19%"
BUDAPEST,Budapest XI. kerület,1,11,61, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,8,"1,17%"
BUDAPEST,Budapest XI. kerület,1,11,61, Független,GÖRÖG KRISZTIÁN ,7,"1,02%"
BUDAPEST,Budapest XI. kerület,1,11,62, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,340,"48,71%"
BUDAPEST,Budapest XI. kerület,1,11,62, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,323,"46,28%"
BUDAPEST,Budapest XI. kerület,1,11,62, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,15,"2,15%"
BUDAPEST,Budapest XI. kerület,1,11,62, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,13,"1,86%"
BUDAPEST,Budapest XI. kerület,1,11,62, Független,GÖRÖG KRISZTIÁN ,7,"1,00%"
BUDAPEST,Budapest XI. kerület,1,11,63, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,316,"54,02%"
BUDAPEST,Budapest XI. kerület,1,11,63, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,235,"40,17%"
BUDAPEST,Budapest XI. kerület,1,11,63, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,14,"2,39%"
BUDAPEST,Budapest XI. kerület,1,11,63, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,12,"2,05%"
BUDAPEST,Budapest XI. kerület,1,11,63, Független,GÖRÖG KRISZTIÁN ,8,"1,37%"
BUDAPEST,Budapest XI. kerület,1,11,64, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,230,"47,13%"
BUDAPEST,Budapest XI. kerület,1,11,64, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,227,"46,52%"
BUDAPEST,Budapest XI. kerület,1,11,64, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,13,"2,66%"
BUDAPEST,Budapest XI. kerület,1,11,64, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,11,"2,25%"
BUDAPEST,Budapest XI. kerület,1,11,64, Független,GÖRÖG KRISZTIÁN ,7,"1,43%"
BUDAPEST,Budapest XI. kerület,1,11,65, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,290,"47,39%"
BUDAPEST,Budapest XI. kerület,1,11,65, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,281,"45,92%"
BUDAPEST,Budapest XI. kerület,1,11,65, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,19,"3,10%"
BUDAPEST,Budapest XI. kerület,1,11,65, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,17,"2,78%"
BUDAPEST,Budapest XI. kerület,1,11,65, Független,GÖRÖG KRISZTIÁN ,5,"0,82%"
BUDAPEST,Budapest XI. kerület,1,11,66, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,211,"48,28%"
BUDAPEST,Budapest XI. kerület,1,11,66, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,202,"46,22%"
BUDAPEST,Budapest XI. kerület,1,11,66, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,12,"2,75%"
BUDAPEST,Budapest XI. kerület,1,11,66, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,8,"1,83%"
BUDAPEST,Budapest XI. kerület,1,11,66, Független,GÖRÖG KRISZTIÁN ,4,"0,92%"
BUDAPEST,Budapest XI. kerület,1,11,67, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,241,"47,53%"
BUDAPEST,Budapest XI. kerület,1,11,67, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,240,"47,34%"
BUDAPEST,Budapest XI. kerület,1,11,67, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,13,"2,56%"
BUDAPEST,Budapest XI. kerület,1,11,67, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,8,"1,58%"
BUDAPEST,Budapest XI. kerület,1,11,67, Független,GÖRÖG KRISZTIÁN ,5,"0,99%"
BUDAPEST,Budapest XI. kerület,1,11,68, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,168,"47,73%"
BUDAPEST,Budapest XI. kerület,1,11,68, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,157,"44,60%"
BUDAPEST,Budapest XI. kerület,1,11,68, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,17,"4,83%"
BUDAPEST,Budapest XI. kerület,1,11,68, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,6,"1,70%"
BUDAPEST,Budapest XI. kerület,1,11,68, Független,GÖRÖG KRISZTIÁN ,4,"1,14%"
BUDAPEST,Budapest XI. kerület,1,11,69, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,233,"46,88%"
BUDAPEST,Budapest XI. kerület,1,11,69, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,224,"45,07%"
BUDAPEST,Budapest XI. kerület,1,11,69, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,19,"3,82%"
BUDAPEST,Budapest XI. kerület,1,11,69, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,15,"3,02%"
BUDAPEST,Budapest XI. kerület,1,11,69, Független,GÖRÖG KRISZTIÁN ,6,"1,21%"
BUDAPEST,Budapest XI. kerület,1,11,70, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,330,"50,61%"
BUDAPEST,Budapest XI. kerület,1,11,70, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,289,"44,33%"
BUDAPEST,Budapest XI. kerület,1,11,70, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,14,"2,15%"
BUDAPEST,Budapest XI. kerület,1,11,70, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,14,"2,15%"
BUDAPEST,Budapest XI. kerület,1,11,70, Független,GÖRÖG KRISZTIÁN ,5,"0,77%"
BUDAPEST,Budapest XI. kerület,1,11,71, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,226,"52,93%"
BUDAPEST,Budapest XI. kerület,1,11,71, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,178,"41,69%"
BUDAPEST,Budapest XI. kerület,1,11,71, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,16,"3,75%"
BUDAPEST,Budapest XI. kerület,1,11,71, Független,GÖRÖG KRISZTIÁN ,4,"0,94%"
BUDAPEST,Budapest XI. kerület,1,11,71, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,3,"0,70%"
BUDAPEST,Budapest XI. kerület,1,11,72, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,202,"52,60%"
BUDAPEST,Budapest XI. kerület,1,11,72, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,156,"40,63%"
BUDAPEST,Budapest XI. kerület,1,11,72, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,10,"2,60%"
BUDAPEST,Budapest XI. kerület,1,11,72, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,10,"2,60%"
BUDAPEST,Budapest XI. kerület,1,11,72, Független,GÖRÖG KRISZTIÁN ,6,"1,56%"
BUDAPEST,Budapest XI. kerület,1,11,73, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,262,"48,61%"
BUDAPEST,Budapest XI. kerület,1,11,73, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,245,"45,45%"
BUDAPEST,Budapest XI. kerület,1,11,73, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,16,"2,97%"
BUDAPEST,Budapest XI. kerület,1,11,73, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,14,"2,60%"
BUDAPEST,Budapest XI. kerület,1,11,73, Független,GÖRÖG KRISZTIÁN ,2,"0,37%"
BUDAPEST,Budapest XI. kerület,1,11,74, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,350,"52,40%"
BUDAPEST,Budapest XI. kerület,1,11,74, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,269,"40,27%"
BUDAPEST,Budapest XI. kerület,1,11,74, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,25,"3,74%"
BUDAPEST,Budapest XI. kerület,1,11,74, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,12,"1,80%"
BUDAPEST,Budapest XI. kerület,1,11,74, Független,GÖRÖG KRISZTIÁN ,12,"1,80%"
BUDAPEST,Budapest XI. kerület,1,11,75, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,269,"53,27%"
BUDAPEST,Budapest XI. kerület,1,11,75, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,206,"40,79%"
BUDAPEST,Budapest XI. kerület,1,11,75, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,12,"2,38%"
BUDAPEST,Budapest XI. kerület,1,11,75, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,11,"2,18%"
BUDAPEST,Budapest XI. kerület,1,11,75, Független,GÖRÖG KRISZTIÁN ,7,"1,39%"
BUDAPEST,Budapest XI. kerület,1,11,76, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,217,"54,39%"
BUDAPEST,Budapest XI. kerület,1,11,76, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,157,"39,35%"
BUDAPEST,Budapest XI. kerület,1,11,76, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,11,"2,76%"
BUDAPEST,Budapest XI. kerület,1,11,76, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,9,"2,26%"
BUDAPEST,Budapest XI. kerület,1,11,76, Független,GÖRÖG KRISZTIÁN ,5,"1,25%"
BUDAPEST,Budapest XI. kerület,1,11,77, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,227,"58,66%"
BUDAPEST,Budapest XI. kerület,1,11,77, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,139,"35,92%"
BUDAPEST,Budapest XI. kerület,1,11,77, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,8,"2,07%"
BUDAPEST,Budapest XI. kerület,1,11,77, Független,GÖRÖG KRISZTIÁN ,7,"1,81%"
BUDAPEST,Budapest XI. kerület,1,11,77, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,6,"1,55%"
BUDAPEST,Budapest XI. kerület,1,11,78, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,364,"54,65%"
BUDAPEST,Budapest XI. kerület,1,11,78, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,254,"38,14%"
BUDAPEST,Budapest XI. kerület,1,11,78, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,23,"3,45%"
BUDAPEST,Budapest XI. kerület,1,11,78, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,17,"2,55%"
BUDAPEST,Budapest XI. kerület,1,11,78, Független,GÖRÖG KRISZTIÁN ,8,"1,20%"
BUDAPEST,Budapest XI. kerület,1,11,79, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,388,"60,82%"
BUDAPEST,Budapest XI. kerület,1,11,79, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,218,"34,17%"
BUDAPEST,Budapest XI. kerület,1,11,79, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,19,"2,98%"
BUDAPEST,Budapest XI. kerület,1,11,79, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,10,"1,57%"
BUDAPEST,Budapest XI. kerület,1,11,79, Független,GÖRÖG KRISZTIÁN ,3,"0,47%"
BUDAPEST,Budapest XI. kerület,1,11,80, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,339,"57,56%"
BUDAPEST,Budapest XI. kerület,1,11,80, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,207,"35,14%"
BUDAPEST,Budapest XI. kerület,1,11,80, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,23,"3,90%"
BUDAPEST,Budapest XI. kerület,1,11,80, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,12,"2,04%"
BUDAPEST,Budapest XI. kerület,1,11,80, Független,GÖRÖG KRISZTIÁN ,8,"1,36%"
BUDAPEST,Budapest XI. kerület,1,11,81, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,346,"51,41%"
BUDAPEST,Budapest XI. kerület,1,11,81, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,284,"42,20%"
BUDAPEST,Budapest XI. kerület,1,11,81, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,22,"3,27%"
BUDAPEST,Budapest XI. kerület,1,11,81, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,11,"1,63%"
BUDAPEST,Budapest XI. kerület,1,11,81, Független,GÖRÖG KRISZTIÁN ,10,"1,49%"
BUDAPEST,Budapest XI. kerület,1,11,82, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,317,"47,81%"
BUDAPEST,Budapest XI. kerület,1,11,82, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,299,"45,10%"
BUDAPEST,Budapest XI. kerület,1,11,82, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,20,"3,02%"
BUDAPEST,Budapest XI. kerület,1,11,82, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,15,"2,26%"
BUDAPEST,Budapest XI. kerület,1,11,82, Független,GÖRÖG KRISZTIÁN ,12,"1,81%"
BUDAPEST,Budapest XI. kerület,1,11,83, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,303,"58,72%"
BUDAPEST,Budapest XI. kerület,1,11,83, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,179,"34,69%"
BUDAPEST,Budapest XI. kerület,1,11,83, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,17,"3,29%"
BUDAPEST,Budapest XI. kerület,1,11,83, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,13,"2,52%"
BUDAPEST,Budapest XI. kerület,1,11,83, Független,GÖRÖG KRISZTIÁN ,4,"0,78%"
BUDAPEST,Budapest XI. kerület,1,11,84, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,216,"51,31%"
BUDAPEST,Budapest XI. kerület,1,11,84, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,186,"44,18%"
BUDAPEST,Budapest XI. kerület,1,11,84, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,9,"2,14%"
BUDAPEST,Budapest XI. kerület,1,11,84, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,5,"1,19%"
BUDAPEST,Budapest XI. kerület,1,11,84, Független,GÖRÖG KRISZTIÁN ,5,"1,19%"
BUDAPEST,Budapest XI. kerület,1,11,85, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,281,"52,52%"
BUDAPEST,Budapest XI. kerület,1,11,85, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,207,"38,69%"
BUDAPEST,Budapest XI. kerület,1,11,85, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,30,"5,61%"
BUDAPEST,Budapest XI. kerület,1,11,85, Független,GÖRÖG KRISZTIÁN ,10,"1,87%"
BUDAPEST,Budapest XI. kerület,1,11,85, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,7,"1,31%"
BUDAPEST,Budapest XI. kerület,1,11,86, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,322,"53,58%"
BUDAPEST,Budapest XI. kerület,1,11,86, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,230,"38,27%"
BUDAPEST,Budapest XI. kerület,1,11,86, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,21,"3,49%"
BUDAPEST,Budapest XI. kerület,1,11,86, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,19,"3,16%"
BUDAPEST,Budapest XI. kerület,1,11,86, Független,GÖRÖG KRISZTIÁN ,9,"1,50%"
BUDAPEST,Budapest XI. kerület,1,11,87, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,187,"48,70%"
BUDAPEST,Budapest XI. kerület,1,11,87, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,168,"43,75%"
BUDAPEST,Budapest XI. kerület,1,11,87, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,13,"3,39%"
BUDAPEST,Budapest XI. kerület,1,11,87, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,11,"2,86%"
BUDAPEST,Budapest XI. kerület,1,11,87, Független,GÖRÖG KRISZTIÁN ,5,"1,30%"
BUDAPEST,Budapest XI. kerület,1,11,88, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,247,"50,20%"
BUDAPEST,Budapest XI. kerület,1,11,88, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,213,"43,29%"
BUDAPEST,Budapest XI. kerület,1,11,88, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,15,"3,05%"
BUDAPEST,Budapest XI. kerület,1,11,88, Független,GÖRÖG KRISZTIÁN ,10,"2,03%"
BUDAPEST,Budapest XI. kerület,1,11,88, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,7,"1,42%"
BUDAPEST,Budapest XI. kerület,1,11,89, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,288,"49,32%"
BUDAPEST,Budapest XI. kerület,1,11,89, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,252,"43,15%"
BUDAPEST,Budapest XI. kerület,1,11,89, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,23,"3,94%"
BUDAPEST,Budapest XI. kerület,1,11,89, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,12,"2,05%"
BUDAPEST,Budapest XI. kerület,1,11,89, Független,GÖRÖG KRISZTIÁN ,9,"1,54%"
BUDAPEST,Budapest XI. kerület,1,11,90, MOMENTUM-DK-MSZP-PÁRBESZÉD-LMP,DR. LÁSZLÓ IMRE ,198,"51,83%"
BUDAPEST,Budapest XI. kerület,1,11,90, FIDESZ-KDNP,DR. HOFFMANN TAMÁS ,163,"42,67%"
BUDAPEST,Budapest XI. kerület,1,11,90, Mi Hazánk-MIÉP-FKgP,KUBINYI TAMÁS ,8,"2,09%"
BUDAPEST,Budapest XI. kerület,1,11,90, ÁLLAMPOLGÁROK A CENTRUMBANEGYE,LENGYEL DOMOKOS BERNÁT ,7,"1,83%"
BUDAPEST,Budapest XI. kerület,1,11,90, Független,GÖRÖG KRISZTIÁN ,6,"1,57%"
